reviewer,rating,review_text,date,source_url
reilly ford,3,"better than before but still not great. The app is faster than the previous solution of saving a bookmark to your homepage and it’s nice that the different queues are on the same page so I don’t have to switch back and forth. But the chat feature needs a lot of work because for some reason, the chat tab is only showing anonymized chats from months ago, I can’t see any recent incoming chats. And half the time if somebody who’s been there before sends a message, it sends the message to the older anonymized chat log which makes it impossible to find what they said without getting a computer. Also it would be nice to see a feature where we can select which fields you can see in the preview of the customer’s information, that way I wouldn’t have to open it up every time. Big props for adding a customer registration tab into the app though makes it a lot easier to sign people up when they don’t know what they’re doing 🙏",2022-09-02,https://apps.apple.com/us/app/waitwhile/id1601375220
Manaalie,5,"Automatic, Supersonic, Funky Fresh!. Waitwhile has changed the game and continues to provide the best support and services. They’re quick to respond, easy to use, and always releasing the best new features! The app makes it so easy to manage my account and keep track of everything going on, right from my phone! I’d recommend this to anyone looking for a waitlist and booking system.",2025-06-16,https://apps.apple.com/us/app/waitwhile/id1601375220
Newschoolbarber,5,It runs itself. Have used it for last five years.  Customers love how easy it is. It’s best thing that’s happened to my business.,2025-02-10,https://apps.apple.com/us/app/waitwhile/id1601375220
ScarefestScreamPark1,5,Amazing app. Waitwhile has revolutionized our haunted house operations. The app is very smooth and user friendly.,2025-06-03,https://apps.apple.com/us/app/waitwhile/id1601375220
Hunt9146,5,Great interface. Super easy to use for our staff and great visibility for our managers!,2023-01-15,https://apps.apple.com/us/app/waitwhile/id1601375220
kjt89,5,Great User Experience!. This app has a great user experience and is very intuitive.,2025-06-16,https://apps.apple.com/us/app/waitwhile/id1601375220
hfdyobdssaa,1,Every update is worse than the last. Interface makes zero sense every time they update the app it makes things more complicated/buggy wouldn’t recommend whatsoever,2025-02-10,https://apps.apple.com/us/app/waitwhile/id1601375220
jcilione,1,Customer service is terrible too. The amount of bugs with this app are too many to go through. This app should never have been released in its current state,2023-11-16,https://apps.apple.com/us/app/waitwhile/id1601375220
shdbdhdhdj,1,Horrible. I can’t even make a account it keeps saying can not make account like is it hard to make a good app that works,2024-05-15,https://apps.apple.com/us/app/waitwhile/id1601375220
PV Nurse,1,Disappointing. Notifications still don’t work. Looks worse than the website on iPad,2022-08-29,https://apps.apple.com/us/app/waitwhile/id1601375220
MaryAnn,5,"App doesn’t work till 9:00.. The app is really good, but it’s a shame it doesn’t work till 9:00 am when the license office opens. I understand for those waiting in line outside, but that should be posted somewhere on the sign to use the app. It was frustrating trying to use the app before 9 AM.",2026-07-09,https://apps.apple.com/us/app/qless/id1033286225
saprra,3,"Kind of: not positive about your existence. If you can claim possibility that you are there. I lost line. I panicked because there was no appointments on the same day I came. So the next day I gotten in. But took over 11 from my appointment. I used something like this before from my previous school for financial aid. And I assume it kept me updated about my turn. I don’t remember if it was this app. This app told 114min or so afar. The one I mentioned before really knew you were coming in. Line respected. Not sure if it updates well. I was 5 people near my appointment. By redoing it. I was at 2nd. When I lost my line inside the building. Somehow!!! >:0 even seeing the pre enter people, did not guarantee my line! well I was first when I re-enter after my line lost. Other than that it left me in confusion of why I couldn’t go the previous day. Of course I was watching my turn. Waiting for previous line waiter to end their turn. Please don’t hang up on my while I’m waiting inside!!!",2021-08-17,https://apps.apple.com/us/app/qless/id1033286225
Paladroon,2,"Good service, not a great app. The service QLess provides is great, but the app itself has some bugs. Biggest for me right now is that I moved to a new phone and when I try to add my number it says it’s already in use on a different device (my old phone) with no way to remove it. I removed the app to see if it would help and it recognized me but I can’t remove it and set it up on my device.Also searching is terrible and shows nothing similar to my searches. I know my local DMVs use QLess but I can’t find them in the app at all and have to use their website.Finally, when I search and click the X to clear the field or cancel the search, my previous search terms remain in the search box and can create confusion. The only way to clear the field is to tap the “near me” option. It’s a small detail, but it’s an indication of a lack of Polish to the app. Not a big deal, but worth mentioning. The phone number issue and the searching issues are pretty big deals to me though.",2017-12-15,https://apps.apple.com/us/app/qless/id1033286225
Mikey T Ward,3,Improvements required. App needs to support the full screen on iPads. Also would really like it if you added support for push notifications so that the app does not have to be open all the time for us to be able know what the current wait time is for any line we are in. Also how about add a account manger so that I can view the same info on my iPad as on my iPhone this way both are in sync. Also when a school uses your system for the prep use of study rooms have it ask number of people and ask for names and phone numbers of the additional people so that the correct study room can be made available as well as provide better wait time for availability. Also add integration into a school library check in/check out computer system this way as room keys are checked in and out it would update wait times with better accuracy.,2019-09-30,https://apps.apple.com/us/app/qless/id1033286225
LMW1955,3,"Less can be confusing. I arrived just as my text alerted me that it was time. I still waited 45”. However, every single staff member at the Concord Plaza location treated each and every patron with a smile, a hello, performed professionally and efficiently. I visited the Maplewood Deer Park location earlier in the afternoon And after being told by the male employee that I was next, 6 other patrons were called ahead of me. I questioned the female employee who summarily dismissed me. I wanted an explanation as the QLess system is very confusing regarding trying to pick the service you need - nothing for transferring plates. The Maplewood Deer. Creek employees treated each patron with disdain and as an inconvenience. It was disheartening and gives these offices the bad reputation that they are known for. Do better Belle Hart Schmidt, LLC.",2025-07-23,https://apps.apple.com/us/app/qless/id1033286225
Amber Bakowski,5,"Freakin' Awesome. This app has turned Secretary of State from an absolute nightmare to an actual pleasant experience. I'm a 38 yr old woman who dreads SOS. Now, I checked in online it told me I had approx 70 mins, went grocery shopping, was running a little late and was able to just request adding on 10 mins to my wait time. I was allowed to push back my time 3x! It was like SOS was actually trying to make my life a little easier and stress free... And it worked. I've never written a review before but if this is the ""new SOS experience"" I think I should scream it from the roof top. Awesome. Can't wait to explore this app further and see what other lines I won't have to wait in 😬😀 I mean..",2016-06-08,https://apps.apple.com/us/app/qless/id1033286225
i love to eat rice,1,"Makes iOS users very sad. You know it’s bad when I have to write a review for the first time. The app is pretty alright when my dad uses it because he has a Samsung phone; however, I have a big fat iPhone and this app has been a disaster at every corner. When I enter the app and pick a location (provided it doesn’t freeze and kick me out in the first minute) the app asks for your phone number and then doesn’t send a confirmation text. Cool, that’s fine I guess — except there’s nowhere in the app for me to check what lines I’m already queued up for. There’s no way to know if you’re actually in line, or if you gave them the wrong number, or if the app glitched and froze after hitting enter (which indeed happened the first time I used the app, so I had to enter the same line twice). Would not recommend unless they fix hella stuff.",2022-03-14,https://apps.apple.com/us/app/qless/id1033286225
Byrnesth,5,"Secretary of State. We all know how dreadful going to the Secretary of State in Michigan can be.. and most likely, in all states for that matter... after losing my wallet, this trip was my biggest obstacle... normally a 30-60 minute wait with America's finest. Thanks to this app, I just skipped a 40 minute line that was wrapped out of the front door and into the 80 degree heat... QLess held my spot in line and I walked in as I was being called, outta there in 5 minutes with a new license being mailed to me for $9. Saving time is saving money, so do yourself the favor and download this app and support its growth. Shoutout to the developer - you've made your mark on Earth!! You should be extremely proud.",2017-06-02,https://apps.apple.com/us/app/qless/id1033286225
Swivelthrone,2,"No way to cancel appointment in app. This is such a good idea but some important things are missing. This works perfectly if you never need to reschedule or cancel. I need multiple appts with city planning dept, and I need to be able to go into the app to cancel a meeting if there has been a delay in getting the documents needed for that meeting. I even tried texting “C” to cancel all my meetings so I could start over, but that did nothing. Basically, this app (and the fact that the Planning Dept. does not answer telephone calls) forces users who need to cancel to be the jerk that just doesn’t show up. It would be so simple to add the option “cancel appointment.” That would make this perfect.",2024-09-27,https://apps.apple.com/us/app/qless/id1033286225
wiebusdu,1,Post Falls ID. Don’t use this app to make an appointment in post falls because it thinks the DMV is where drivers licensing is done and it is actually done in the sheriffs office. My wife and I sat there for 3 hours. It said we were 6th in line so we booked it over there then it said we were 1st in line but our names were never called then it said we were 4th in line and we waited a while they never called our name. We ask some what the heck is going on and they told us we made an appointment at the DMV. So we walked over there it was right next door and all of a sudden I got a text saying I was 6th in line. I’m thinking it looks at your GPS to see if you are there or not. Not completely sure but we then went back to the sheriffs office and saw our names on the board. Very frustrating,2020-01-03,https://apps.apple.com/us/app/qless/id1033286225
NikollaoL,5,Great app. Easy to use and effective!,2017-09-11,https://apps.apple.com/us/app/qless/id1033286225
pigletdou,1,Doesn’t work. Can not use “continue” button,2020-05-15,https://apps.apple.com/us/app/qless/id1033286225
더 다양햇으면,1,Confirm button doesnt work. Iphone 8.,2019-08-13,https://apps.apple.com/us/app/qless/id1033286225
ccrqscv,1,No privacy. Collecting your personal information and might be shared with the others,2021-07-22,https://apps.apple.com/us/app/qless/id1033286225
type02,5,Every company and govt service should use Qless. It’s so much more convenient to not need to have your phone on hold especially 1 or more hours which is common when calling government services.Add to that the ability to see the estimated wait time and place in line and it’s definitely worth a 5 star rating,2020-07-14,https://apps.apple.com/us/app/qless/id1033286225
bnucbuggxvbj,5,Academic Advising. The adviser was very helpful and answered all my questions. Thank you.,2020-07-03,https://apps.apple.com/us/app/qless/id1033286225
MusicRox14,5,"Awesome, Finally a better system. This app is awesome I hope all the registries get it eventually.",2017-05-20,https://apps.apple.com/us/app/qless/id1033286225
VittGallone,1,"Not cool. I’m here for a breast exam. I register at the kiosk. I get called to the wrong registration desk. I’m directed to come way down the hall to find no one at the registration desk. My appt was at 12:15. Finding parking was not easy, and I got disoriented in the parking elevator ☹️ It’s nerving to have this appt so stressed out!",2019-10-24,https://apps.apple.com/us/app/qless/id1033286225
Sudoku-Lover,5,Qless. Excellent,2017-01-04,https://apps.apple.com/us/app/qless/id1033286225
TK1098,1,"Does not work. Confirm button still does not work, useless app",2019-07-24,https://apps.apple.com/us/app/qless/id1033286225
Pro0101,1,Unbelievably worst.. If the confirm button doesn't work why the hell it's there. Never used such a horrible app.,2017-02-28,https://apps.apple.com/us/app/qless/id1033286225
MaryMc,2,"Useless so far. I keep trying to book an appointment with a business for a day next week. The app won't let me--just keeps telling me that they're closed right now. Well, yes, I know that--if they were open, I would just go down there instead of wasting my time with this useless app. I've clicked every link, explored every screen, but I've accomplished nothing. I did give it two stars instead of one because it's possible that the problem isn't entirely with the app, it's with the business I'm trying to schedule with. Maybe they haven't set it up right on their end? It's hard to tell. The developer's website is aimed at selling the service and supporting businesses who buy it--no instructions or troubleshooting at all for individual users. I don't know what I'm supposed to be seeing or doing in the app, or whose fault it is that I can't--I only know it's doing nothing it was advertised to do.",2023-03-25,https://apps.apple.com/us/app/skiplino/id1065862072
cp-sea,1,"Not worth the download, doesn't do what it says.. For the record, this app doesn't let you skip anything. It set an APPOINTMENT for me, with a specific TIME. After traveling to the location I arrived and approximately 4 minutes before my APPOINTMENT, it had the audacity to pop up and tell me that it would be at least 20 more minutes before my turn. If I wanted to sit and wait 20 minutes in line, I can do that without this stupid app. That isn't skipping anything. Plus even then it won't show how many people are ahead of you in the queue. Furthermore, if I knew my time could be moved, I would have picked the time 20 minutes earlier, rather than being honest about my arrival time only to drive there and still have to wait. Just call it ""remotelino"" or something and don't show times like it's an appointment when it's not. 1 star. Didn't save me crap die time and I left without getting my business done because I specifically didn't have the 20 minutes to wait that it lied to me about.",2023-05-13,https://apps.apple.com/us/app/skiplino/id1065862072
rottliver,1,"Wasting even more time. Ironically, you expect to save time with this app. Instead, you still get to wait, and when you book, you'll have to wait for a tiresome lengthy loud noisy ad before even knowing about your booking status. What's even worse, we could before go to the place and do our errands privately, but in Skiplino we'll have to provide very personal data to the app that has absolutely nothing to do with thing we want/need. Absolutely appalling!",2022-03-27,https://apps.apple.com/us/app/skiplino/id1065862072
Anonymous,5,Everything cool. Wish it would not allow you to book an appointment on days not open. Eg;Holidays I learned the hard way lol.,2024-01-03,https://apps.apple.com/us/app/skiplino/id1065862072
Paul76010,3,Buyer beware. System and software are decent unfortunately everyday you lose the ticket numbers and are forced back to 1. Unless you finish same day tickets this software is not for you as repeating customer tickets can complicate providing service and causes duplicate customer files,2021-01-28,https://apps.apple.com/us/app/skiplino/id1065862072
Gulf aviator,5,Very nice app. I've being using this app twice it's very useful and time saving as well I thank you for this app and I hope for more useful usage in the future,2020-06-03,https://apps.apple.com/us/app/skiplino/id1065862072
Hussain xsBLACK,5,"Perfect app To save time. This app saved many hours of my time, no need to wait in queue anymore.",2020-06-08,https://apps.apple.com/us/app/skiplino/id1065862072
അച്ചു,5,Good service keep it up. Really it’s a good service time saver please update with other offices,2020-02-04,https://apps.apple.com/us/app/skiplino/id1065862072
Attack80,5,Good app - bad reason to exist. The app works - it’s the system that is broken. Shameful.,2021-09-03,https://apps.apple.com/us/app/skiplino/id1065862072
storyofsal,1,The application is not functional. The services are not specific and there should be more option The application should have a rating of 2 out of 5 !,2021-06-21,https://apps.apple.com/us/app/skiplino/id1065862072
RaveOnRavers,1,Nonsense app. No iptions no stores,2020-04-26,https://apps.apple.com/us/app/skiplino/id1065862072
Veryveryniceguy,1,Dead app. No options available,2020-01-22,https://apps.apple.com/us/app/skiplino/id1065862072
Strong gal,5,"FANTASTIC!. This is the only way to safely avoid crowds yet keep your appointments. Fast, easy, efficient. Love it!",2020-04-19,https://apps.apple.com/us/app/skiplino/id1065862072
